a,啊
aba,阿峇
aba,a-bâ
abako,阿峇哥
abako,a-bâ--ko
abeng,阿明
abeng,a-bêng
abueho,猶未好
abueho,á-buē-hó
adeh,阿棣
adeh,a-de̍h
adue,啊咄
adue,a-duê
agah,阿扼
agah,a-gah
agah,阿偔
agah,a-gah
agah,阿捳
agah,a-gah
aham,鴨頷
aham,ah-ām
ahamthng,鴨頷糖
ahamthng,ah-ām-thn̂g
ahbo,抑無
ahbo,a̍h-bô
ahe,抑會
ahe,a̍h-ē
ahhian,鴨羶
ahhian,ah-hiàn
ahloh,後落
ahloh,āu-lo̍h
ahnui,鴨卵
ahnui,ah-nuī
ahpuinn,鴨飯
ahpuinn,ah-puīnn
ahsaisek,鴨屎色
ahsaisek,ah-sái-sek
ahsaitshenn,鴨屎青
ahsaitshenn,ah-sái-tshenn
ahthuimisuann,鴨腿麵線
ahthuimisuann,ah-thuí-mī-suànn
ahtin,鴨陣
ahtin,ah-tīn
ahu,抑有
ahu,a̍h-ū
ahun,押韻
ahun,ah-ūn
aia,愛啊
aia,ài-a
aibin,愛面
aibin,ài-bīn
aibinkui,愛面鬼
aibinkui,ài-bīn-kuí
aihau,愛吼
aihau,ài-háu
aila,愛啦
aila,ài-lah
aileh,愛咧
aileh,ài-leh
Ailiauee,隘寮下
Ailiauee,Ài-liâu-ēe
ailim,愛啉
ailim,ài-lim
ailo,愛囉
ailo,ài-ló
ailui,愛鐳
ailui,ài-lui
aimai,愛毋愛
aimai,ài-m̄-ài
aimai,愛勿
aimai,ài-mài
aimee,愛咩
aimee,ài-měe
aioh,愛學
aioh,ài-o̍h
aipianntsiaheiann,愛拚則會贏
aipianntsiaheiann,ài-piànn-tsiah-ē-iânn
aitam,亞依淡
aitam,a-i-tām
aitseng,愛情
aitseng,ài-tsêng
aitsenglang,愛情人
aitsenglang,ài-tsêng-lâng
aitsengphe,愛情批
aitsengphe,ài-tsêng-phe
aitsenn,愛諍
aitsenn,ài-tsènn
aiwo,愛喔
aiwo,ài-wō
akauaniau,阿狗阿貓
akauaniau,a-káu-a-niau
akhua,沃花
akhua,ak-hua
akpuinn,沃飯
akpuinn,ak-puīnn
akthng,沃湯
akthng,ak-thng
aktsang,沃欉
aktsang,ak-tsâng
aktshai,沃菜
aktshai,ak-tshài
akuann,阿倌
akuann,a-kuann
alamah,亞拉媽
alamah,a-la-mah
aleh,阿棣
aleh,a-le̍h
alian,阿蓮
alian,a-liân
alosuta,亞羅士打
alosuta,A-lô-sū-tá
alung,亞窿
alung,à-lǔng
amah,阿媽
amah,a-mah
amamkhun,暗暗睏
amamkhun,àm-àm-khùn
amang,醃甕
amang,am-àng
amhong,掩風
amhong,am-hong
amkham,掩闔
amkham,am-khàm
amkua,醃瓜
amkua,am-kua
ammee,暗暝
ammee,àm-mêe
ammeekang,暗暝工
ammeekang,àm-mêe-kang
ammeetuinn,暗暝頓
ammeetuinn,àm-mêe-tuìnn
amoh,暗學
amoh,àm-o̍h
ampai,暗牌
ampai,àm-pâi
amsek,暗色
amsek,àm-sek
amtai,頷帶
amtai,ām-tài
amtenn,暗捏
amtenn,àm-tēnn
amthun,鵪鶉
amthun,am-thun
amthunnui,鵪鶉卵
amthunnui,am-thun-nuī
amtua,暗大
amtua,àm-tuā
amtuinn,暗頓
amtuinn,àm-tuìnn
amua,暗話
amua,àm-uā
angbahkiann,紅肉囝
angbahkiann,âng-bah-kiánn
angbahtsio,紅肉蕉
angbahtsio,âng-bah-tsio
anggee,紅牙
anggee,âng-gêe
anghee,紅蝦
anghee,âng-hêe
anghionn,紅香
anghionn,âng-hionn
anghoo,紅虎
anghoo,âng-hóo
anghue,紅火
anghue,âng-hué
anghuetshennhue,紅火青火
anghuetshennhue,âng-hué-tshenn-hué
angjiguleng,紅字牛奶
angjiguleng,âng-jī-gû-leng
angkenui,紅雞卵
angkenui,âng-ke-nuī
angkong,尪公
angkong,ang-kong
angkonga,尪公仔
angkonga,ang-kong-á
angkongabin,尪公仔面
angkongabin,ang-kong-á-bīn
angkongahi,尪公仔戲
angkongahi,ang-kong-á-hì
angkongam,尪公庵
angkongam,ang-kong-am
angkongapiann,尪公仔餅
angkongapiann,ang-kong-á-piánn
angkongatsheeh,尪公仔冊
angkongatsheeh,ang-kong-á-tsheeh
angkongbio,尪公廟
angkongbio,ang-kong-biō
angkonghi,尪公戲
angkonghi,ang-kong-hì
angkonghu,尪公符
angkonghu,ang-kong-hû
angkonghue,尪公會
angkonghue,ang-kong-huē
angkongji,尪公字
angkongji,ang-kong-jī
angkongkeng,尪公間
angkongkeng,ang-kong-keng
angkongsai,尪公司
angkongsai,ang-kong-sai
angkongsenn,尪公生
angkongsenn,ang-kong-senn
angkongtoh,尪公桌
angkongtoh,ang-kong-toh
angkongtuann,尪公壇
angkongtuann,ang-kong-tuânn
angmoo,紅毛
angmoo,âng-môo
angmoohi,紅毛戲
angmoohi,âng-môo-hì
angmoohobee,紅毛號碼
angmoohobee,âng-môo-hō-bée
angmoohuahuinn,紅毛花園
angmoohuahuinn,âng-môo-hua-huînn
angmoohuan,紅毛番
angmoohuan,âng-môo-huan
angmoohue,紅毛灰
angmoohue,âng-môo-hue
angmoohue,紅毛歲
angmoohue,âng-môo-huè
angmoohuetshia,紅毛灰車
angmoohuetshia,âng-môo-hue-tshia
angmooioh,紅毛藥
angmooioh,âng-môo-io̍h
angmooji,紅毛字
angmooji,âng-môo-jī
angmookau,紅毛猴
angmookau,âng-môo-kâu
angmooki,紅毛棋
angmooki,âng-môo-kî
angmookiann,紅毛囝
angmookiann,âng-môo-kiánn
angmookio,紅毛茄
angmookio,âng-môo-kiô
angmookio,紅毛橋
angmookio,âng-môo-kiô
angmoolang,紅毛人
angmoolang,âng-môo-lâng
angmoolau,紅毛樓
angmoolau,âng-môo-lâu
angmooliulian,紅毛榴槤
angmooliulian,âng-môo-liû-liân
angmoomia,紅毛名
angmoomia,âng-môo-miâ
angmoonainai,紅毛荔荔
angmoonainai,âng-môo-nai-nai
angmooni,紅毛年
angmooni,âng-môo-nî
angmoonoona,紅毛楉梛
angmoonoona,âng-môo-nōo-na
angmoooh,紅毛學
angmoooh,âng-môo-o̍h
angmoopeng,紅毛兵
angmoopeng,âng-môo-peng
angmoopo,紅毛婆
angmoopo,âng-môo-pô
angmoosai,紅毛屎
angmoosai,âng-môo-sái
angmoosennjit,紅毛生日
angmoosennjit,âng-môo-senn-ji̍t
angmoosintsiann,紅毛新正
angmoosintsiann,âng-môo-sin-tsiann
angmootan,紅毛丹
angmootan,âng-môo-tan
angmootangtseh,紅毛冬節
angmootangtseh,âng-môo-tang-tseh
angmootankeng,紅毛丹間
angmootankeng,âng-môo-tan-keng
angmootee,紅毛茶
angmootee,âng-môo-têe
angmoothng,紅毛糖
angmoothng,âng-môo-thn̂g
angmoothoo,紅毛塗
angmoothoo,âng-môo-thôo
angmootsaboo,紅毛查某
angmootsaboo,âng-môo-tsa-bóo
angmootsaboo,紅毛姹姥
angmootsaboo,âng-môo-tsa-bóo
angmootsheeh,紅毛冊
angmootsheeh,âng-môo-tsheeh
angmootsiann,紅毛正
angmootsiann,âng-môo-tsiann
angmootsiu,紅毛守
angmootsiu,âng-môo-tsiú
angmootsuinn,紅毛磚
angmootsuinn,âng-môo-tsuinn
angmooua,紅毛話
angmooua,âng-môo-uā
angsek,紅色
angsek,âng-sek
angtaupeng,紅豆冰
angtaupeng,âng-tāu-peng
angtausa,紅豆沙
angtausa,âng-tāu-sa
angtausng,紅豆霜
angtausng,âng-tāu-sng
angtauthng,紅豆湯
angtauthng,âng-tāu-thng
angtautsui,紅豆水
angtautsui,âng-tāu-tsuí
angtee,紅茶
angtee,âng-têe
angteng,紅燈
angteng,âng-teng
angtengkak,紅燈角
angtengkak,âng-teng-kak
angtengkhu,紅燈區
angtengkhu,âng-teng-khu
angthan,紅蟶
angthan,âng-than
angthaupeng,紅頭兵
angthaupeng,âng-thâu-peng
angtso,紅鰽
angtso,âng-tsô
angtsohu,紅鰽魚
angtsohu,âng-tsô-hû
anguinntshennhue,紅黃青火
anguinntshennhue,âng-uînn-tshenn-hué
ania,阿娘
ania,a-niâ
aniatsi,阿娘姊
aniatsi,a-niâ-tsí
ankee,安家
ankee,an-kee
anleng,安寧
anleng,an-lêng
anmeeh,按脈
anmeeh,àn-me̍eh
annee,按呢
annee,án-nee
anneekhuan,按呢款
anneekhuan,án-nee-khuán
anteng,安定
anteng,an-tēng
antseng,案情
antseng,àn-tsêng
antsng,安裝
antsng,an-tsng
antsuanniaunn,按怎樣
antsuanniaunn,án-tsuánn-iāunn
antsuannionn,按怎樣
antsuannionn,án-tsuánn-iōnn
antsuannkhuan,按怎款
antsuannkhuan,án-tsuánn-khuán
apeeh,阿伯
apeeh,a-peeh
aphiankeng,鴉片間
aphiankeng,a-phiàn-keng
appek,壓迫
appek,ap-pek
apung,亞榜
apung,a-pung
apungsian,亞榜仙
apungsian,a-pung-sian
apungsin,亞榜神
apungsin,a-pung-sîn
apungsin,亞榜臣
apungsin,a-pung-sîn
asam,亞參
asam,a-sam
asam,阿嬸（幫傭）
asam,a-sâm
asamhee,亞參蝦
asamhee,a-sam-hêe
asamhu,亞參魚
asamhu,a-sam-hû
asamko,亞參膏
asamko,a-sam-ko
asamlaksa,亞參叻沙
asamlaksa,a-sam-lak-sá
asamphue,亞參皮
asamphue,a-sam-phuê
asamtsio,亞參蕉
asamtsio,a-sam-tsio
aseng,阿成
aseng,a-sêng
ataphioh,亞答葉
ataphioh,a-ta̍p-hio̍h
ataptsang,亞答欉
ataptsang,a-ta̍p-tsâng
ataptshiu,亞答樹
ataptshiu,a-ta̍p-tshiū
ataptshu,亞答厝
ataptshu,a-ta̍p-tshù
ataptshu,亞答茨
ataptshu,a-ta̍p-tshù
ataptsi,亞答子
ataptsi,a-ta̍p-tsí
ataptsi,亞答籽
ataptsi,a-ta̍p-tsí
atiaunn,阿丈
atiaunn,a-tiāunn
ationn,阿丈
ationn,a-tiōnn
atsek,阿叔
atsek,a-tsek
atuakau,阿豬阿狗
atuakau,a-tu--a-káu
au,鷂
au,âu
Aubeng,歐盟
Aubeng,Au-bêng
aubueloo,後尾路
aubueloo,āu-bué-lōo
aubuemui,後尾門
aubuemui,āu-bué-muî
aubuepeng,後尾爿
aubuepeng,āu-bué-pêng
aubueua,後尾話
aubueua,āu-bué-uā
aukang,後港
aukang,āu-káng
aukhang,喉空
aukhang,âu-khang
aukhut,拗屈
aukhut,áu-khut
aukuinntinn,喉管滇
aukuinntinn,âu-kuínn-tīnn
aumui,後門
aumui,āu-muî
aupee,後爸
aupee,āu-pēe
aupee,後父
aupee,āu-pēe
aupeng,後爿
aupeng,āu-pêng
aupuannmee,後半暝
aupuannmee,āu-puànn-mêe
Ausek,歐式
Ausek,Au-sek
